gss_code,sites_total,hectares_total,homes_min_total,homes_max_total,homes_reported_total,sites_permitted_not_started,hectares_permitted_not_started,homes_min_permitted_not_started,homes_max_permitted_not_started,homes_reported_permitted_not_started,sites_unpermissioned,hectares_unpermissioned,homes_min_unpermissioned,homes_max_unpermissioned,homes_reported_unpermissioned,sites_pns_deliverable,hectares_pns_deliverable,homes_min_pns_deliverable,homes_max_pns_deliverable,homes_reported_pns_deliverable,pct_sites_with_homes,borough,ten_year_target,source,pct_hectares_public,median_permission_age_years,permissions_dated,demand_gap_per_km2,demand_gap_per_km2_median,demand_gap_total,tightness_mean,tightness_median,msoas,msoas_surplus,pct_of_target_pns,pct_of_target_unpermissioned,pct_of_target_total,homes_capacity_reported,data_quality_flag
E09000024,277,115.276026,6141.0,6141.0,115.0,220,73.660844,2987.0,2987.0,90.0,45.0,29.285182,3154.0,3154.0,25.0,153.0,62.520844,2987.0,2987.0,90.0,41.51624548736462,Merton,9180,London Plan 2021 Table 4.1,3.53374863911426,7.162217659137577,219.0,445.7376299372,478.4863159,16029.77542837,2.98815171844,3.07530848,25,0,32.53812636165577,34.35729847494554,66.89542483660131,True,PARTIAL_CAPACITY;
E09000019,77,82.09,7995.0,7995.0,72.0,38,36.12,2431.0,2431.0,33.0,39.0,45.97,5564.0,5564.0,39.0,38.0,36.12,2431.0,2431.0,33.0,93.5064935064935,Islington,7750,London Plan 2021 Table 4.1,63.85674259958583,9.065023956194388,38.0,1530.585356130435,1488.355103,22979.5291329,5.827162897391304,5.620266818,23,0,31.367741935483874,71.79354838709678,103.16129032258064,True,
E09000014,277,182.362,15902.0,16032.0,156.0,213,69.402,3314.0,3444.0,93.0,,,,,,213.0,69.402,3314.0,3444.0,93.0,56.317689530685925,Haringey,15920,London Plan 2021 Table 4.1,10.294907930380234,9.634496919917865,213.0,514.6847399361111,461.20339379999996,15330.5360609,3.0788549068611113,2.996943113,36,0,20.816582914572866,,99.88693467336684,True,PARTIAL_CAPACITY;
E09000012,38,6.909,3212.0,3222.0,7.0,33,4.619,2736.0,2736.0,3.0,5.0,2.29,476.0,486.0,4.0,,,,,,18.421052631578945,Hackney,13280,London Plan 2021 Table 4.1,0.0,9.399041752224504,29.0,1140.1096649214285,1010.269792,19361.2413582,4.8975587119999995,4.681608546,28,0,20.602409638554217,3.5843373493975905,24.186746987951807,True,PARTIAL_CAPACITY;
E09000022,51,15.620000000000001,2987.0,2987.0,51.0,49,14.1,2417.0,2417.0,49.0,2.0,1.52,570.0,570.0,2.0,49.0,14.1,2417.0,2417.0,49.0,100.0,Lambeth,13350,London Plan 2021 Table 4.1,28.55313700384123,2.614647501711157,49.0,917.2509311257144,948.3100795,23445.5671483,4.124368002485714,4.104473159,35,0,18.10486891385768,4.269662921348314,22.374531835205993,True,
E09000013,23,24.322,5188.0,5188.0,22.0,17,11.122,2494.0,2494.0,17.0,,,,,,17.0,11.122,2494.0,2494.0,17.0,95.65217391304348,Hammersmith & Fulham,16090,London Plan 2021 Table 4.1,2.5491324726584983,8.574948665297741,17.0,1354.179375728,1289.372475,20363.6430387,5.6464625261200005,5.509933716,25,0,15.500310752019889,,32.243629583592295,True,
E09000001,2,0.22,104.0,104.0,2.0,2,0.22,104.0,104.0,2.0,,,,,,2.0,0.22,104.0,104.0,2.0,100.0,City of London,1460,London Plan 2021 Table 4.1,0.0,10.039698836413415,2.0,1890.935892,1890.935892,5469.626194,6.397431384,6.397431384,1,0,7.123287671232877,,7.123287671232877,True,LOW_SITE_COUNT;
E09000028,791,383.980674,8393.0,9362.0,348.0,416,182.409,778.0,950.0,318.0,74.0,103.125274,7615.0,8412.0,30.0,315.0,53.04,0.0,0.0,315.0,43.994943109987354,Southwark,23550,London Plan 2021 Table 4.1,0.0,9.930184804928132,387.0,856.7048148787879,802.379375,23183.902038199998,3.782338944727273,3.801965238,33,0,3.303609341825902,32.33545647558386,35.639065817409765,True,PARTIAL_CAPACITY;
E09000025,96,11.537908,1520.0,2290.0,95.0,75,7.017908,885.0,1368.0,74.0,18.0,4.42,612.0,894.0,18.0,75.0,7.017908,885.0,1368.0,74.0,98.95833333333334,Newham,32800,London Plan 2021 Table 4.1,36.661758786774854,7.327857631759069,74.0,397.80887018378377,336.5031183,11673.19183594,2.725951790135135,2.523577825,37,0,2.698170731707317,1.8658536585365852,4.634146341463414,True,
E09000026,188,128.11,0.0,0.0,144.0,72,22.07,0.0,0.0,32.0,112.0,103.06,0.0,0.0,108.0,61.0,14.59,0.0,0.0,21.0,76.59574468085107,Redbridge,14090,London Plan 2021 Table 4.1,56.58418546561548,10.609171800136892,49.0,315.48357388806454,292.5027231,16450.975792,2.7205964441612904,2.651842181,31,0,0.0,0.0,0.0,True,
E09000033,280,99.090677,0.0,0.0,280.0,208,52.951673,0.0,0.0,208.0,53.0,39.511482,0.0,0.0,53.0,36.0,4.109568,0.0,0.0,36.0,100.0,Westminster,9850,London Plan 2021 Table 4.1,9.212672954086287,9.453798767967147,208.0,1795.196836975,1863.8812750000002,37012.652027000004,6.286431771208334,6.5028741485,24,0,0.0,0.0,0.0,True,
E09000006,88,52.165,,,,76,29.825,,,,12.0,22.34,,,,76.0,29.825,,,,0.0,Bromley,7740,London Plan 2021 Table 4.1,23.69021374484808,9.253935660506503,74.0,228.1061782703077,228.3955683,21400.90095267,2.214004616230769,2.239861623,39,0,,,,False,NO_CAPACITY_PUBLISHED;
E09000009,70,111.69,,,,31,61.22,,,,34.0,44.410000000000004,,,,30.0,58.74,,,,0.0,Ealing,21570,London Plan 2021 Table 4.1,10.618676694422062,9.070499657768652,31.0,382.94540960205126,318.4723333,17378.75570409,2.6951500035897435,2.447855659,39,0,,,,False,NO_CAPACITY_PUBLISHED;
E09000010,27,49.815000000000005,,,,27,49.815000000000005,,,,,,,,,27.0,49.815000000000005,,,,0.0,Enfield,12460,London Plan 2021 Table 4.1,18.217404396266183,9.552361396303901,27.0,201.02662033888888,176.27922595,13099.4657408,2.062369863166667,1.974362254,36,0,,,,False,NO_CAPACITY_PUBLISHED;
E09000015,102,102.483271,,,,84,80.204416,,,,15.0,19.793891,,,,83.0,80.174055,,,,0.0,Harrow,8020,London Plan 2021 Table 4.1,45.61378900562219,10.620123203285422,84.0,185.65914959333335,169.640463,9199.1196032,2.0616784222,1.970264472,30,0,,,,False,NO_CAPACITY_PUBLISHED;
E09000016,114,104.1,,,,63,38.49,,,,31.0,51.129999999999995,,,,52.0,35.65,,,,0.0,Havering,12850,London Plan 2021 Table 4.1,26.157540826128724,,,219.5956106433,207.6391217,16452.53251836,2.7190629348,2.568677409,30,1,,,,False,NO_CAPACITY_PUBLISHED;
E09000017,203,180.209,,,,52,73.35,,,,23.0,50.52,,,,52.0,73.35,,,,0.0,Hillingdon,10830,London Plan 2021 Table 4.1,0.47167455565482297,9.976728268309376,52.0,129.22466067375,122.43003010000001,10538.66388046,1.85973461165625,1.84296868,32,2,,,,False,NO_CAPACITY_PUBLISHED;
E09000021,49,64.135,,,,23,24.884999999999998,,,,26.0,39.25,,,,23.0,24.884999999999998,,,,0.0,Kingston upon Thames,9640,London Plan 2021 Table 4.1,0.0,5.503080082135524,23.0,389.742304251,470.4585492,12392.9399093,3.09510368255,3.3944400685,20,0,,,,False,NO_CAPACITY_PUBLISHED;
E09000029,103,47.99,2850.0,6431.0,55.0,48,24.66,,,0.0,55.0,23.330000000000002,2850.0,6431.0,55.0,,,,,,53.398058252427184,Sutton,4690,London Plan 2021 Table 4.1,38.341321108564294,10.754277891854894,45.0,250.85378512833333,253.59658015000002,9768.2010196,2.3790848015833332,2.321434186,24,0,,60.76759061833689,60.76759061833689,True,PARTIAL_CAPACITY;
E09000030,26,95.99,,,,7,4.92,,,,3.0,2.66,,,,,,,,,0.0,Tower Hamlets,34730,London Plan 2021 Table 4.1,0.0,10.33264887063655,7.0,1184.9666534,1175.3406275,22049.6479826,4.91297624765625,4.677470134,32,0,,,,False,NO_CAPACITY_PUBLISHED;
